Order,Family,Species,English_name,Subspecies,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System,Display,Resource,References
Otidiformes,Otididae,Eupodotis indica,Lesser Florican,,,,,,,,187.83,12,231.73,11,,,91.75,12,98.18,11,,,32.83,,35.86,,,,,,,,,,,46,,,,"3, 31"
Gruiformes,Gruidae,Balearica pavonina,Black Crowned-Crane,,,,,,3629,13,,,,,547.5,6,,,,,196,6,,,,,56.5,6,,,,,244.3,6,2.5,137,,,,"5, 31"
Gruiformes,Gruidae,Balearica regulorum,Grey Crowned-Crane,,,,3772.5,2,,,,,,,565,22,,,,,207,22,,,,,62,22,,,,,239,22,2.52,152,,,,"5, 31"
Gruiformes,Gruidae,Grus leucogeranus,Siberian Crane,,6166.2,3,5283.3,3,,,626,6,594,7,,,284,6,268,7,,,192,6,178,7,,,217,6,206,7,,,,197,,,1,"10, 31"
Gruiformes,Gruidae,Grus antigone,Sarus Crane,,6666.7,3,5250,4,,,628,3,567.33,3,,,297.67,3,273.7,3,,,157.67,3,147.67,3,,,231.7,3,218.3,3,,,1.83,225,2,,,"18, 31"
Gruiformes,Gruidae,Grus rubicunda,Brolga,,6838,321,5663,217,,,587,4,552,7,,,291.4,4,280.1,7,,,162,4,147.8,6,,,235.8,4,212.1,7,,,1.84,181,2,2,1,"18, 31"
Gruiformes,Gruidae,Grus canadensis,Sandhill Crane,rowani,4800,51,4110,33,4500,,,,,,,,230.6,51,217,33,,,119.7,51,114.1,33,,,167,8,159,13,,,1.94,152,2,,,"1, 7, 10, 31"
Gruiformes,Gruidae,Grus virgo,Demoiselle Crane,,2416,3,2042.5,2,,,495,19,467,14,,,188,20,176,17,,,66.3,19,64.2,15,,,,,,,,,,128,,,,"10, 31"
Gruiformes,Gruidae,Grus paradisea,Blue Crane,,,,,,,,,,,,552.6,10,,,,,235.2,10,,,,,88.8,10,,,,,,,,185,,,,"5, 31"
Gruiformes,Gruidae,Grus carunculatus,Wattled Crane,,,,,,,,669.7,7,634.1,7,,,321.6,7,309.8,7,,,,,,,166.9,21,,,,,,,,240,,,,"5, 31"
Gruiformes,Gruidae,Grus grus,Common Crane,grus,5095,,4500,,,,593,8,557,8,,,258,11,238,16,,,109,11,102,14,,,210,8,200,8,,,2,195,2,1,,"1, 10, 31"
Gruiformes,Gruidae,Grus americana,Whooping Crane,,,,,,7496.5,,601.7,15,597.9,7,,,276.5,15,281.4,7,,,138.5,15,136.7,7,,,,,,,,,1.94,209,,,,"7, 31"
Gruiformes,Aramidae,Aramus guarauna,Limpkin,,1240,4,1080,4,1085,31,313,10,305,4,,,130,10,126,4,,,126,10,120,4,,,,,,,,,5.5,,2,1,2,"1, 7"
Gruiformes,Heliornithidae,Podica senegalensis,African Finfoot,,627,1,338,1,,,195,8,167,8,,,41.2,8,36,8,,,48.2,8,43.5,8,,,139,8,122,8,,,2.3,,,,,5
Gruiformes,Heliornithidae,Heliornis fulica,Sungrebe,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Gruiformes,Rallidae,Sarothrura pulchra,White-spotted Flufftail,,45.3,9,42,2,,,81.1,232,79.3,78,,,30,30,30,18,,,,,,,,,,,,,,,2,7.7,,,,"5, 31"
Gruiformes,Rallidae,Sarothrura elegans,Buff-spotted Flufftail,,40.3,3,50.2,3,,,88.7,41,89.6,17,,,23.8,16,23.9,6,,,16.3,15,15.3,6,,,,,,,,,3.86,7.3,,,,"5, 31"
Gruiformes,Rallidae,Sarothrura rufa,Red-chested Flufftail,,33.8,4,,,,,75.8,63,76.8,26,,,21.7,62,20.2,25,,,14.4,63,13.8,26,,,,,,,,,3.75,6.1,,,,"5, 31"
Gruiformes,Rallidae,Sarothrura lugens,Chestnut-headed Flufftail,,,,,,,,78.2,31,79.1,15,,,20.6,29,20.9,13,,,14.4,29,14.1,13,,,,,,,,,,,,,,5
Gruiformes,Rallidae,Sarothrura boehmi,Streaky-breasted Flufftail,,,,,,,,84.8,23,84.7,13,,,19.6,23,19.5,13,,,13.8,23,13.7,13,,,,,,,,,3.8,,,,,5
Gruiformes,Rallidae,Sarothrura affinis,Striped Flufftail,,28.8,1,,,,,72.9,7,71.7,6,,,16.5,7,15.7,6,,,13.5,7,13,6,,,,,,,,,,,,,,5
Gruiformes,Rallidae,Sarothrura ayresi,White-winged Flufftail,,,,,,,,76,13,76.6,12,,,18.3,13,18.5,12,,,12.3,13,12.5,12,,,,,,,,,,,,,,5
Gruiformes,Rallidae,Himantornis haematopus,Nkulengu Rail,,,,390,1,,,220,6,212,6,,,81,6,75,6,,,,,,,,,85,6,80,6,,,3,38.5,,,,"5, 31"
Gruiformes,Rallidae,Canirallus oculeus,Grey-throated Rail,,,,,,,,173,8,173,5,,,52,8,52,5,,,39,8,37,5,,,64,8,65,5,,,,24.5,,,,"5, 31"
Gruiformes,Rallidae,Coturnicops noveboracensis,Yellow Rail,,59.2,70,52.2,6,,,88.8,9,85.3,8,,,24,13,22.5,6,,,14.2,9,13.3,8,,,32.7,12,32.2,8,,,8.03,6.5,,1,,"7, 31"
Gruiformes,Rallidae,Rallina tricolor,Red-necked Crake,,154.5,2,,,,,145,6,142.67,3,,,46.4,6,46.7,3,,,28.8,5,27.6,3,,,67.3,6,62,3,,,5,13.2,2,1,2,"18, 31"
Gruiformes,Rallidae,Laterallus jamaicensis,Black Rail,jamaicensis,34.6,33,36.2,16,,,74,60,73.7,47,,,22.9,59,22.4,45,,,14.3,51,13.6,46,,,31.4,37,33.3,37,,,6.58,5.5,,,,"7, 31"
Gruiformes,Rallidae,Gallirallus australis,Weka,scotti,1034,70,753,26,,,184.4,70,162.5,26,,,58.4,70,51.7,26,,,50.2,70,45.3,26,,,,,,,,,2.3,,2,1,2,18
Gruiformes,Rallidae,Gallirallus sylvestris,Lord Howe Rail,,536,49,456,58,,,143.7,6,145,7,,,50.7,9,45.2,9,,,53.4,9,47,9,,,60.7,24,60.6,26,,,2.5,29,2,1,2,18
Gruiformes,Rallidae,Gallirallus philippensis,Buff-banded Rail,mellori,181,16,165.6,8,,,145.8,30,141.2,18,,,40.8,30,38.8,18,,,31.9,25,29.8,17,,,69.3,26,64.8,16,,,4.7,15.3,,2,1,"18, 31"
Gruiformes,Rallidae,Rallus longirostris,Clapper Rail,yumanensis,269,109,209.5,49,,,154.1,65,141.6,30,,,49.6,29,45.5,23,,,61,94,55.6,47,,,66.6,66,60.8,29,,,8.65,18.8,,,,"7, 31"
Gruiformes,Rallidae,Rallus elegans,King Rail,,,,,,415,,163.4,18,154.3,14,,,58,,54,1,,,62.5,18,61.9,14,,,65.9,18,64.4,14,,,10.4,21.1,2,,,"1, 7, 31"
Gruiformes,Rallidae,Rallus limicola,Virginia Rail,,89.4,6,69.3,3,89,,106.3,47,100.1,29,,,35.1,43,32.4,36,,,40.2,47,35.7,40,,,43.8,47,40.6,40,,,8.5,10.5,2,,,"1, 7, 31"
Gruiformes,Rallidae,Rallus aquaticus,Water Rail,aquaticus,127,6,104,8,,,125,126,116,124,,,42.6,63,38.5,58,,,41.4,55,37,58,,,53,60,48.4,56,,,8.5,13.2,,1,1,"10, 31"
Gruiformes,Rallidae,Rallus caerulescens,Kaffir Rail,,175.5,,145,,,,122,54,115,38,,,42,8,38,5,,,52,55,46,38,,,46,8,41,5,,,4.1,14.8,,,,"5, 31"
Gruiformes,Rallidae,Lewinia pectoralis,Lewin's Rail,pectoralis,80.8,9,75.4,8,,,101.7,16,98.9,14,,,31.2,17,29.7,14,,,33.6,17,30.6,14,,,,,,,,,,12.3,2,,,"18, 31"
Gruiformes,Rallidae,Crecopsis egregia,African Crake,,137,1,,,113.5,4,123,8,124,12,,,40.8,8,40.7,12,,,24.8,8,23.4,12,,,,,,,,,,12,,,,"5, 31"
Gruiformes,Rallidae,Crex crex,Corn Crake,,169,28,142,3,,,144,15,136,6,,,40,36,38.1,23,,,21.4,37,20.5,25,,,47.1,38,44.4,24,,,10,13.2,2,1,,"1, 10, 31"
Gruiformes,Rallidae,Rougetius rougetii,Rouget's Rail,,,,,,,,131,8,131,8,,,51,8,47,8,,,33,8,31,8,,,49,8,46,8,,,4.7,11.8,,,,"5, 31"
Gruiformes,Rallidae,Amaurornis olivaceus,Bush-hen,ruficrissa,177,9,,,,,152,12,143.8,6,,,51.7,14,48.3,6,,,31.5,12,28.9,6,,,,,,,,,5.8,16.9,2,1,1,"18, 31"
Gruiformes,Rallidae,Amaurornis flavirostra,Black Crake,,98,37,90,31,,,106,10,101,10,,,42,10,39,10,,,26,10,24,10,,,43,10,41,10,,,3,9.7,,,,"5, 31"
Gruiformes,Rallidae,Porzana parva,Little Crake,,53.5,4,63,2,,,106,24,103,22,,,31.9,25,30.8,20,,,18.5,25,17.4,22,,,51.4,21,52.1,15,,,8,7.9,,1,1,"10, 31"
Gruiformes,Rallidae,Porzana pusilla,Baillon's Crake,pusilla,,,34,2,,,91.1,43,88.8,36,,,28.5,51,27.8,46,,,17,42,16.2,37,,,43.2,20,43.2,12,,,7,6.3,,3,,"10, 18, 31"
Gruiformes,Rallidae,Porzana porzana,Spotted Crake,,80.9,7,80.7,6,,,122,46,118,27,,,34.1,45,33,27,,,,,,,,,47.5,45,47.3,26,,,11,10.9,,1,1,"10, 31"
Gruiformes,Rallidae,Porzana fluminea,Australian Crake,,65.6,10,57.3,3,,,101.3,34,97.9,17,,,30.1,33,28.6,16,,,20.6,31,18.7,17,,,51.7,31,50.3,15,,,4.6,8.9,2,,1,"18, 31"
Gruiformes,Rallidae,Porzana carolina,Sora,,88,4,71.3,9,,,107,60,101.5,22,,,32.5,60,30.5,22,,,20,60,19.5,22,,,48.9,18,44.9,13,,,10.55,8.9,,,,"7, 10, 31"
Gruiformes,Rallidae,Porzana tabuensis,Spotless Crake,,47.7,7,37.4,4,,,86.4,27,84.5,17,,,29.6,27,28.2,17,,,19.2,27,18.1,14,,,50.7,23,49.2,13,,,2.6,8.3,2,1,2,"18, 31"
Gruiformes,Rallidae,Porzana cinerea,White-browed Crake,,,,,,52.1,11,93.5,2,89,7,,,33.7,2,31.8,7,,,21.05,2,19.1,7,,,49.5,2,49.2,6,,,4,7.3,2,1,2,"18, 31"
Gruiformes,Rallidae,Aenigmatolimnas marginalis,Striped Crake,,,,61,1,,,107,3,106,6,,,36,3,35,6,,,18,3,17.5,6,,,46.5,3,43.5,6,,,4.35,7.3,,,,"5, 31"
Gruiformes,Rallidae,Eulabeornis castaneoventris,Chestnut Rail,,,,,,653.4,8,223.3,3,214.6,8,,,71.7,4,69.4,8,,,58.2,4,54.7,6,,,123.3,3,124.3,8,,,4.5,40.7,,,2,"18, 31"
Gruiformes,Rallidae,Porphyrio porphyrio,Purple Swamphen,porphyrio,869,37,724,35,,,265,13,259,12,,,102,13,94.4,13,,,44.6,13,40.9,12,,,100,12,92.9,12,,,4,41.5,2,1,,"1, 10, 18, 31"
Gruiformes,Rallidae,Porphyrio mantelli,Takahe,,2673,13,2268,14,,,249.7,3,228.7,3,,,97.4,4,91.7,4,,,86.7,4,79.4,4,,,119.3,4,116,3,,,1.7,93,2,1,1,"18, 31"
Gruiformes,Rallidae,Porphyrio alleni,Allen's Gallinule,,165,4,128.5,2,,,156,10,152,13,,,51.7,11,50.3,13,,,24.4,11,23.3,13,,,65.2,11,66,13,,,4.4,13.5,,,,"5, 10, 31"
Gruiformes,Rallidae,Porphyrio martinicus,Purple Gallinule,,213.4,14,223.5,14,,,176.1,15,168.8,13,,,60.4,15,57.9,12,,,48.7,15,46.5,13,,,70.3,9,67.7,8,,,6.48,18,,,,"7, 10, 31"
Gruiformes,Rallidae,Gallinula chloropus,Common Moorhen,,359,5,338,6,,,185,13,176,13,,,51.3,60,47.6,78,,,26.3,70,24.5,70,,,74.7,13,74.1,11,,,7,22.3,2,1,1,"1, 10, 22, 31"
Gruiformes,Rallidae,Gallinula tenebrosa,Dusky Moorhen,,570,5,493,7,,,208.5,19,199.6,16,,,63.3,19,60.2,16,,,46.2,17,43.1,16,,,,,,,,,8.01,34,2,2,,"1, 18, 31"
Gruiformes,Rallidae,Gallinula angulata,Lesser Moorhen,,158,3,118.5,2,,,137,9,132,3,,,36.6,9,36.7,3,,,,,,,,,56.3,9,57,3,,,5,11.2,,,,"5, 31"
Gruiformes,Rallidae,Gallinula ventralis,Black-tailed Native-hen,,410,8,364,5,,,218.3,18,210.2,15,,,61.7,15,56.5,14,,,33,18,29.2,15,,,82.7,18,80.1,15,,,5.9,24,,,1,"18, 31"
Gruiformes,Rallidae,Gallinula mortierii,Tasmanian Native-hen,,1334,152,1251,120,,,202.4,19,198.1,17,,,83.9,20,81.1,17,,,41.5,18,39.3,14,,,95.9,18,93.7,15,,,6.36,45,2,1,,"18, 31"
Gruiformes,Rallidae,Fulica cristata,Red-knobbed Coot,,985,1,900,1,,,227,15,217,13,,,71.8,14,66,19,,,32.9,16,31,20,,,59.4,15,58.7,17,,,6,41,,,1,"10, 31"
Gruiformes,Rallidae,Fulica atra,Common Coot,,835,11,715,11,,,219,21,205,23,,,61.7,37,56.8,38,,,29,30,27.6,30,,,55.4,18,53.4,22,,,8,36.5,,2,1,"10, 18, 31"
Gruiformes,Rallidae,Fulica alai,Hawaiian Coot,,,,,,,,181.7,17,166.2,14,,,57.4,17,53.5,14,,,54,17,48.4,14,,,,,,,,,5,28,,,,"7, 31"
Gruiformes,Rallidae,Fulica americana,American Coot,,629,,451,,,,,,187.9,56,203,49,63.1,49,58.4,56,,,,,,,,,52.4,12,51.4,7,,,7.5,28.9,,,,"7, 10, 31"
Pteroclidiformes,Pteroclididae,Syrrhaptes tibetanus,Tibetan Sandgrouse,,,,,,,,262,,257,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,"31, 67"
Pteroclidiformes,Pteroclididae,Syrrhaptes paradoxus,Pallas's Sandgrouse,,274,8,252,5,,,253,14,222,12,,,21.6,7,20.9,8,,,10,15,9.6,15,,,190,11,144,11,,,2.5,21,,3,,"8, 31"
Pteroclidiformes,Pteroclididae,Pterocles alchata,Pin-tailed Sandgrouse,,250,,225,,,,209,,205,,,,27.9,,26,,,,13.6,,13.8,,,,157,8,138,7,,,2.96,25,,5,,"8, 31"
Pteroclidiformes,Pteroclididae,Pterocles namaqua,Namaqua Sandgrouse,,180,,172,,,,173,,167,,,,22.6,,21.8,,,,11.9,,12.2,,,,112.5,10,95.6,10,,,2.9,12.5,,,,"5, 31"
Pteroclidiformes,Pteroclididae,Pterocles exustus,Chestnut-bellied Sandgrouse,olivascens,200,1,181.7,3,,,182,15,175,11,,,23,14,21.8,8,,,11.9,14,11.5,11,,,124,15,99.8,18,,,2.5,13,,,,"8, 31"
Pteroclidiformes,Pteroclididae,Pterocles senegallus,Spotted Sandgrouse,,280,1,255,1,,,206,5,196,6,,,22.67,3,21.33,3,,,12,6,11.7,9,,,132,5,109,9,,,2.74,18,,,,"8, 31"
Pteroclidiformes,Pteroclididae,Pterocles gutturalis,Yellow-throated Sandgrouse,,342,,336,,,,217,,213,,,,29.9,,29.2,,,,14.6,,14.9,,,,88.1,10,81.1,10,,,3,30,,,,"5, 31"
Pteroclidiformes,Pteroclididae,Pterocles orientalis,Black-bellied Sandgrouse,,428,,383,,,,237,,228,,,,30.3,,31,,,,13.4,,13.4,,,,94.4,8,91.3,3,,,2.76,28,,4,,"8, 31"
Pteroclidiformes,Pteroclididae,Pterocles coronatus,Crowned Sandgrouse,,,,,,300,,199,,189,,,,23,,23.5,,,,,,,,,,83,24,79.5,1,,,2.5,17,,,,"8, 31"
Pteroclidiformes,Pteroclididae,Pterocles personatus,Madagascar Sandgrouse,,,,,,,,178.5,,180,,,,25.5,,24,,,,14,,14,,,,,,,,,,,14,,,,31
Pteroclidiformes,Pteroclididae,Pterocles decoratus,Black-faced Sandgrouse,,187,,178,,,,164.5,,164.5,,,,25,,25,,,,14,,14,,,,,,,,67.5,,2.5,14,,,,"5, 31"
Pteroclidiformes,Pteroclididae,Pterocles bicinctus,Double-banded Sandgrouse,,234,,239,,,,181,,177,,,,23.5,,23.5,,,,,,,,,,80.6,10,79.1,10,,,2.6,14,,,,"5, 31"
Pteroclidiformes,Pteroclididae,Pterocles quadricinctus,Four-banded Sandgrouse,,,,,,,,178.5,,180,,,,25.5,,24,,,,14,,14,,,,77.5,,,,,,2.7,,,,,5
Pteroclidiformes,Pteroclididae,Pterocles indicus,Painted Sandgrouse,,,,,,198.5,,173,,171,,,,,,,,,,,,,,,,,,,,,,,13,,,,31
Pteroclidiformes,Pteroclididae,Pterocles lichtensteinii,Lichtenstein's Sandgrouse,,247.5,2,,,,,191,5,180.67,3,,,27,3,25,2,,,14.9,7,14.03,3,,,75.7,7,70,3,,,2.5,16,,,,"8, 31"
Pteroclidiformes,Pteroclididae,Pterocles burchelli,Burchell's Sandgrouse,,192,,171,,,,169,,167,,,,27.3,,26.7,,,,11.8,,10.9,,,,70.8,10,66.7,10,,,3,14,,,,"5, 31"
Charadriiformes,Thinocoridae,Attagis gayi,Rufous-bellied Seedsnipe,,311,,,,311,,191,,191.3,,,,,,,,,,23.8,,24.3,,,,,,,,,,,,2,,,"1, 64"
Charadriiformes,Thinocoridae,Thinocorus orbignyianus,Grey-breasted Seedsnipe,,134,,125,,,,139.9,,135.8,,,,,,,,,,16.1,,15.9,,,,,,,,,,,15.5,2,,,"1, 31, 68, 81"
Charadriiformes,Thinocoridae,Thinocorus rumicivorus,Least Seedsnipe,,49,,60,,,,114,,115.6,,,,,,,,,,14,,14.3,,,,,,,,,,,8,,,,"31, 68, 81"
Charadriiformes,Pedionomidae,Pedionomus torquatus,Plains-wanderer,,54,,72.4,,,,88.9,,96.5,,,,25.1,,25.9,,,,12.3,,12.8,,,,29.6,7,31.8,22,,,3.6,10,1,,1,"18, 31, 51, 84"
Charadriiformes,Scolopacidae,Scolopax rusticola,Eurasian Woodcock,,306,,313,,,,202,,200,,,,36.2,,37.1,,,,70.9,,73.5,,,,84,17,83,11,,,3.84,24.5,,,,"57, 68"
Charadriiformes,Scolopacidae,Scolopax minor,American Woodcock,,168.4,,210.5,,,,128,,142,,,,32.9,,36.2,,,,63.9,,71.5,,,,62.9,66,65,74,,,3.9,17,5,,,"1, 7, 57, 61"
Charadriiformes,Scolopacidae,Gallinago solitaria,Solitary Snipe,,,,,,,,,,,,,,33,,33.4,,,,,,,,,,,,,,,,,,,,,41
Charadriiformes,Scolopacidae,Gallinago hardwickii,Latham's Snipe,,145.5,,160.4,,,,157.4,,161.5,,,,34.6,,35.5,,,,67.7,,70.7,,,,66.1,10,64.5,15,,,,,,,,19
Charadriiformes,Scolopacidae,Gallinago nemoricola,Wood Snipe,,,,,,170,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,41
Charadriiformes,Scolopacidae,Gallinago stenura,Pintail Snipe,,101,,132,,,,132,,132,,,,32.2,,33.3,,,,60.1,,63.7,,,,48.3,24,48,37,,,4,,,,,"16, 19"
Charadriiformes,Scolopacidae,Gallinago megala,Swinhoe's Snipe,,,,,,,,139.2,,141.9,,,,33.5,,34.7,,,,61.8,,66.3,,,,,,,,,,,,,,,19
Charadriiformes,Scolopacidae,Gallinago media,Great Snipe,,155,,175,,,,144,,146,,,,35.7,,37.3,,,,61.2,,64.7,,,,54.4,11,52.9,10,,,4,23.2,,,,"16, 57, 68, 73"
Charadriiformes,Scolopacidae,Gallinago gallinago,Common Snipe,,111,,128,,,,134,,134,,,,32.4,,32.8,,,,66.6,,68.5,,,,58,16,58,13,,,3.89,16.5,,,,41
Charadriiformes,Scolopacidae,Gallinago nigripennis,African Snipe,,,,,,,,130,,132,,,,35.6,,36.8,,,,70.7,,77.5,,,,,,,,56.6,22,2.5,,,,,5
Charadriiformes,Scolopacidae,Gallinago paraguaiae,South American Snipe,,,,,,,,,,,,,,28.8,,28.7,,,,,,,,,,,,,,,,,,,,,41
Charadriiformes,Scolopacidae,Gallinago andina,Puna Snipe,,,,,,,,,,,,,,26.9,,27.9,,,,,,,,,,,,,,,,,,,,,41
Charadriiformes,Scolopacidae,Gallinago nobilis,Noble Snipe,,,,,,,,,,,,,,36.4,,34.7,,,,,,,,,,,,,,,,,,,,,41
Charadriiformes,Scolopacidae,Gallinago stricklandii,Fuegian Snipe,,,,,,,,,,,,,,31.5,,32.7,,,,,,,,,,,,,,,,,,,,,41
Charadriiformes,Scolopacidae,Lymnocryptes minimus,Jack Snipe,,53.7,,46.7,,,,114,,110,,,,23.8,,24,,,,40.3,,40.1,,,,46.8,40,48.7,29,,,4,,,,,"5, 16"
Charadriiformes,Scolopacidae,Coenocorypha pusilla,Chatham Islands Snipe,,75.9,,85.4,,,,99.9,,100.5,,,,22.5,,22.9,,,,43.6,,44.4,,,,34.9,35,33.7,34,,,2.06,16.1,2,3,1,19
Charadriiformes,Scolopacidae,Coenocorypha aucklandica,Subantarctic Snipe,,101.2,,116.1,,,,106.2,,109.2,,107,,25.3,,25.8,,,,57.5,,60.9,,,,,,,,,,2.02,23.7,3,1,1,19
Charadriiformes,Scolopacidae,Limosa limosa,Black-tailed Godwit,,264,,315,,,,207,,218,,,,72.9,,81.2,,,,92.1,,107,,,,71.3,4,70.1,7,,,3.86,39,2,5,,"1, 16, 19, 31, 68"
Charadriiformes,Scolopacidae,Limosa haemastica,Hudsonian Godwit,,222,,289,,,,209,,217.4,,,,52.5,,58,,,,74.5,,89.5,,,,74.6,24,77.5,16,,,3.88,37.5,2,,,"1, 19, 57, 82"
Charadriiformes,Scolopacidae,Limosa lapponica,Bar-tailed Godwit,,313,,354,,,,210,,223,,,,52.3,,55.5,,,,80.4,,97.7,,,,75,26,76.5,13,,,3.72,37,2,,,"1, 7, 16, 19,"
Charadriiformes,Scolopacidae,Limosa fedoa,Marbled Godwit,,320,,421,,,,228.9,,239.9,,,,70.4,,75.3,,,,96.6,,114.6,,,,85.1,11,88,10,,,3.95,44.5,2,,,"1, 7, 57, 68"
Charadriiformes,Scolopacidae,Numenius minutus,Little Curlew,,162,,182,,351,,183,,188,,,,48.9,,50.7,,,,41.6,,45.3,,,,70.9,15,72,16,,,,,,,,"16, 51"
Charadriiformes,Scolopacidae,Numenius borealis,Eskimo Curlew,,,,,,375,,206.3,,203.8,,,,,,,,,,,,,,,,79.7,,78.2,,,,3.36,,,,,7
Charadriiformes,Scolopacidae,Numenius phaeopus,Whimbrel,,368,,398,,,,242,,251,,,,58.3,,60.9,,,,78.6,,86.9,,,,94,25,89,27,,,3.7,50,2,,,"1, 7, 16, 31, 68"
Charadriiformes,Scolopacidae,Numenius tahitiensis,Bristle-thighed Curlew,,378,,489,,,,230,,245,,,,58.2,,56.5,,,,82.8,,77.2,,,,94,7,97,7,,,3.85,54.8,,,,"19, 57, 68"
Charadriiformes,Scolopacidae,Numenius tenuirostris,Slender-billed Curlew,,,,,,,,251,,262,,,,63.4,,66.1,,,,72.9,,89.9,,,,93.6,15,102,5,,,,,,,,16
Charadriiformes,Scolopacidae,Numenius arquata,Eurasian Curlew,,662,,788,,,,292,,310,,,,78.5,,83,,,,118,,137,,,,109,16,113,16,,,3.83,76,,3,1,"16, 57, 68"
Charadriiformes,Scolopacidae,Numenius americanus,Long-billed Curlew,,640.1,,758.6,,,,279.3,,291.3,,,,83.2,,86.9,,,,145.3,,184,,,,117.1,14,121.5,9,,,3.91,73,,,,"7, 57, 68"
Charadriiformes,Scolopacidae,Numenius madagascariensis,Far Eastern Curlew,,697.2,,807.9,,,,308.5,,310.1,,,,88.2,,91.6,,,,158,,179.5,,,,110.4,7,114.8,21,,,,,,,,19
Charadriiformes,Scolopacidae,Bartramia longicauda,Upland Sandpiper,,144,2,157,2,,,166,,170,,,,48.5,,48.1,,,,28.9,,28.8,,,,79.8,13,81,10,,,3.99,23.5,,3,,7
Charadriiformes,Scolopacidae,Tringa erythropus,Spotted Redshank,,142,,161,,,,167,,170,,,,55.9,,57.9,,,,57.4,,59.8,,,,62.7,17,65,23,,,4,24.5,,,,"16, 19, 57, 87"
Charadriiformes,Scolopacidae,Tringa totanus,Common Redshank,,123,,135,,,,159,,161,,,,49.4,,49.7,,,,41.7,,42.7,,,,62.7,5,61.6,5,,,3.92,22.3,,3,,"16, 19, 31"
Charadriiformes,Scolopacidae,Tringa stagnatilis,Marsh Sandpiper,,67.1,,76,,,,139,,142,,,,52.2,,52.5,,,,39.5,,40.4,,,,53.7,6,55.4,11,,,4,14,,,,"16, 19, 57, 87"
Charadriiformes,Scolopacidae,Tringa nebularia,Common Greenshank,,172,,175,,,,191,,193,,,,60.2,,60.8,,,,55.1,,57,,,,71.2,13,73.2,28,,,3.91,30.5,,,,"16, 19, 57"
Charadriiformes,Scolopacidae,Tringa melanoleuca,Greater Yellowlegs,,164,,176,,,,196,,199,,,,62.7,,62.6,,,,55.8,,56.7,,,,74.1,11,74.1,10,,,3.7,27.9,2,,,"1, 7, 16"
Charadriiformes,Scolopacidae,Tringa flavipes,Lesser Yellowlegs,,80,,83.7,,,,159,,163,,,,50.9,,52,,,,36,,36.5,,,,59.7,18,59.8,13,,,4,17.4,2,,,"1, 7, 16, 19"
Charadriiformes,Scolopacidae,Tringa solitaria,Solitary Sandpiper,,45.1,,52.1,,,,131,,136,,,,30.9,,31.2,,,,29.2,,29.6,,,,53.7,,55.4,,,,4,,2,,,"1, 7, 16"
Charadriiformes,Scolopacidae,Tringa ochropus,Green Sandpiper,,75,,85,,,,144,,146,,,,34.6,,34.7,,,,34.5,,34.6,,,,56.9,12,57.4,11,,,4,15.5,,,,"16, 57, 70"
Charadriiformes,Scolopacidae,Tringa glareola,Wood Sandpiper,,62,,73,,,,126,,129,,,,37.4,,38.7,,,,28.3,,29.3,,,,45.3,9,48.5,18,,,4,13.5,2,,,"1, 16, 19, 57, 60"
Charadriiformes,Scolopacidae,Tringa cinerea,Terek Sandpiper,,69.4,,74.8,,,,132,,137,,,,28.1,,29.3,,,,45.2,,49.2,,,,,,,,,,,,,,,16
Charadriiformes,Scolopacidae,Tringa hypoleucos,Common Sandpiper,,45.5,,50,,,,112,,112,,,,24.3,,24.5,,,,24.6,,24.5,,,,,,,,,,,12.5,,,,"16, 57, 68, 70"
Charadriiformes,Scolopacidae,Tringa macularia,Spotted Sandpiper,,36.9,,48,,,,105,,109,,,,23.5,,24.1,,,,23.2,,24.1,,,,,,,,,,,9,1,,,"1, 16, 57, 68"
Charadriiformes,Scolopacidae,Tringa brevipes,Grey-tailed Tattler,,,,,,,,,,,,,,32.3,,32.3,,,,,,,,,,,,,,,,,,,,,41
Charadriiformes,Scolopacidae,Tringa incana,Wandering Tattler,,101,,116,,,,163,,165,,,,33.7,,34,,,,38.5,,39.9,,,,,,,,,,,,,,,19
Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus,Willet,,273,,301.4,,,,205.2,,213.5,,,,64.9,,68.3,,,,59.4,,64.1,,,,79.4,11,80.9,6,,,3.89,39.5,,4,1,"7, 57"
Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone,,108,,113,,,,155,,157,,,,25.6,,25.7,,,,22.4,,22.8,,,,55.7,58,57.1,35,,,4,17.9,2,3,1,"1, 7, 16, 57"
Charadriiformes,Scolopacidae,Arenaria melanocephala,Black Turnstone,,113.6,,124.2,,,,147,,151.9,,154.5,,,,,,,,22.5,,23,,,,61.8,,,,,,4,17.3,,3,1,"7, 31, 51, 57, 63"
