Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
Afrosoricida	Tenrecidae	Echinops	telfairi	Lesser hedgehog tenrec	365	365	55	29	6	1		7.67	50	180	0.0301	19	671	captivity	medium	acceptable			0.75	116.4	307.85	"3,614,843,445,554,260,000,000,000,000,000,000,000"
Afrosoricida	Tenrecidae	Geogale	aurita	Large-eared tenrec			63	37	3.9	2		0.7		6.7				unknown	small	low			0.043	6.9	303.95	"36,420,434,613,678"
Afrosoricida	Tenrecidae	Hemicentetes	semispinosus	Streaked tenrec	35		59	21	4	2		11.5		180		2.7	671	captivity	small	questionable			0.38	116.4	308.15	"36,420,434,436,455,500,000,000,000,000"
Afrosoricida	Tenrecidae	Microgale	dobsoni	Dobson's shrew tenrec	669	669	61	29	2.67			3.95		37.8	0.0266	5.6	434	captivity	small	acceptable			0.315	44.6	304.05	"36,420,434,455,610,600,000"
Afrosoricida	Tenrecidae	Microgale	talazaci	Talazac's shrew tenrec	639	639	61	29	2			3.6		50	0.0298	5.8	434	captivity	small	acceptable			0.243	44	303.95	"36,420,434,455,731"
Afrosoricida	Tenrecidae	Setifer	setosus	Greater hedgehog tenrec	198	258	54	24	3	1		24.7		225	0.0419	14.1	671	captivity	medium	acceptable			0.573	427.6	305.35	"364,204,344,556,106,000,000,000,000,000"
Afrosoricida	Tenrecidae	Tenrec	ecaudatus	"Tailess tenrec, or Tenrec"	182		58	27	18	1.5		21	225	900	0.0445	8.7	671	captivity	small	acceptable			0.729	650	306.15	"36,420,434,436,455,500,000,000,000,000,000"
Artiodactyla	Antilocapridae	Antilocapra	americana	Pronghorn	547	547	235	91	2	1	365	3000	8900	46100	0.0083	17	1306	captivity	medium	acceptable			50.973	34779.3	311.15	"36,420,434,441,455,500,000,000,000,000,000,000,000,000,000,000,000"
Artiodactyla	Bovidae	Addax	nasomaculatus	Addax	1065		282	198	1	1	355	5600		92500		28	671	captivity	large	high						"434,455,538,610,671,000"
Artiodactyla	Bovidae	Aepyceros	melampus	Impala	456	395	198	167	1	1	365	5550	15900	52500	0.0043	25.6	671	captivity	large	high						"4,344,556,106,716,760,000,000,000,000"
Artiodactyla	Bovidae	Alcelaphus	buselaphus	Hartebeest	730		247	193	1	1	365	9050		159000		22.5	671	captivity	medium	acceptable						"455,671"
Artiodactyla	Bovidae	Ammodorcas	clarkei	Dibatag			204		1					30500				unknown	small	low						"434,453,455"
Artiodactyla	Bovidae	Ammotragus	lervia	Aoudad	335		149	122	1.2	2	229	4500		92500	0.0053	21.7	671	captivity	large	acceptable						"434,455,610,671,677,000,000"
Artiodactyla	Bovidae	Antidorcas	marsupialis	Springbok	213	400	168	121	1	1	365	4160		39000	0.0137	19.8	671	captivity	large	high					312.55	"4,344,484,555,426,710,000,000"
Artiodactyla	Bovidae	Antilope	cervicapra	Blackbuck	466		168	60	1	1.9	231	3850		37500		23.9	671	captivity	large	high						"434,455,610,671,951"
Artiodactyla	Bovidae	Beatragus	hunteri	Hirola	652	1278	283		1			8350		159000				unknown	small	low						"4,556,106,711,308"
Artiodactyla	Bovidae	Bison	bison	American bison	912	912	274	259	1	1	452	20000	158000	630000		33.5	671	captivity	large	high					311.85	"80,82,434,441,455,542,610,671,680,951,1058,1142,1143"
Artiodactyla	Bovidae	Bison	bonasus	European bison	730	730	270	213	1	1	641	23375		610000		26.4	671	captivity	medium	acceptable					311.5	"4,344,555,426,106,710,000"
Artiodactyla	Bovidae	Bos	frontalis	Gaur	590	550	275	137	1	0.9	634	23000		825000		26.2	671	captivity	medium	acceptable						"4,344,556,716,801,130"
Artiodactyla	Bovidae	Bos	grunniens	Yak	738	738	274	228	1	0.8		18000		667000		26.3	671	captivity	large	high					311.15	"10,610,743,445,554,100,000,000,000,000"
Artiodactyla	Bovidae	Bos	javanicus	Banteng	730		295	304	1	1				700000		27.1	671	captivity	medium	acceptable					311.95	"43,445,567,168,010,400,000"
Artiodactyla	Bovidae	Bos	sauveli	Kouprey	755		260		1					800000				unknown	small	low						"4,341,308"
Artiodactyla	Bovidae	Bos	taurus	Domestic cattle	548	365	277		1	1				750000	0.0031	20	434	captivity	large	questionable			306.77	347000	311.15	"3,618,943,443,671,570,000,000,000,000,000,000,000,000"
Artiodactyla	Bovidae	Boselaphus	tragocamelus	Nilgai	815		255		1.5	1	365	5875		180000		21.7	671	captivity	large	high						"455,671,951"
Artiodactyla	Bovidae	Bubalus	bubalis	Water buffalo	502		311		1.375	1	365	37500		725000		34.9	671	captivity	medium	acceptable					311.25	"81,82,434,455,610,671,1013,1389"
Artiodactyla	Bovidae	Bubalus	depressicornis	Anoa	730	730	300		1	1				155000		36.1	671	captivity	medium	acceptable						"434,448,455,610,671,000"
Artiodactyla	Bovidae	Bubalus	mindorensis	Tamaraw	755		300		1	0.5	1095			240000				unknown	small	low						"4,555,426,106,879,780,000"
Artiodactyla	Bovidae	Bubalus	quarlesi	Mountain anoa	755		295		1	1				150000		29.2	671	captivity	tiny	acceptable						"6,717,309,781,308"
Artiodactyla	Bovidae	Budorcas	taxicolor	Takin	730	730	210		1	1	365	6000		180000		21.9	671	captivity	medium	acceptable						"434,448,455,671"
Artiodactyla	Bovidae	Capra	caucasica	West Caucasian tur	890	1085	157		1			3850		70000		19.3	671	captivity	medium	acceptable						"4,344,556,106,711,300"
Artiodactyla	Bovidae	Capra	cylindricornis	East Caucasian tur	1019	914	161	182	1.2	1		3787.5		50000		20.2	671	captivity	small	acceptable						"434,455,610,671"
Artiodactyla	Bovidae	Capra	falconeri	Markhor	745		163	167	2					41000		19.1	671	captivity	large	high						"434,455,610,671"
Artiodactyla	Bovidae	Capra	hircus	Domestic goat	406	685	155		1.5	1	451	2250		61000	0.0041	20.8	671	captivity	large	high					312.45	"1,334,344,555,116,100,000,000,000,000,000,000,000,000,000"
Artiodactyla	Bovidae	Capra	ibex	Ibex	797	1256	169	274	1.1	0.8	489	2850		82500	0.005	21	1306	captivity	large	acceptable						"434,455,610,671,677,000,000,000,000,000,000"
Artiodactyla	Bovidae	Capra	nubiana	Nubian ibex	818	1256	150		1					46250		22.4	"John Gramieri, pers. comm."	captivity	large	acceptable						"7,309,781,308"
Artiodactyla	Bovidae	Capra	pyrenaica	Spanish ibex	548	1096	165		1.5					57500				unknown	tiny	low						"542,671"
Artiodactyla	Bovidae	Capra	sibirica	Siberian ibex	797	1541	175					3640		130000		22.3	671	captivity	medium	acceptable						"6,717,309,781,308"
Artiodactyla	Bovidae	Capricornis	crispus	Japanese serow	1095	1095	215		1	1	548	3510.5		80000		24	671	captivity	small	acceptable						"434,448,455,610,671,000"
Artiodactyla	Bovidae	Capricornis	sumatraensis	Serow	912	1004	213		1	1		3500		95000		18.5	671	captivity	small	acceptable						"434,542,610,671"
Artiodactyla	Bovidae	Cephalophus	dorsalis	Bay duiker	578		236		1			1610		11600		17.5	671	captivity	small	acceptable						"455,610,671"
Artiodactyla	Bovidae	Cephalophus	jentinki	Jentink's duiker					1			4581		70000.3		21	671	captivity	tiny	acceptable						"671,730,978"
Artiodactyla	Bovidae	Cephalophus	natalensis	Natal duiker			213		1		235	955		10000		15.2	671	captivity	medium	acceptable						"455,610,671,978"
Artiodactyla	Bovidae	Cephalophus	niger	Black duiker			128		1			1940		18100		14.8	671	captivity	small	acceptable						"434,455,610,671,978"
Artiodactyla	Bovidae	Cephalophus	nigrifrons	Black-fronted duiker										13900		17.9	671	captivity	small	acceptable						"434,610,671"
Artiodactyla	Bovidae	Cephalophus	rufilatus	Red-flanked duiker	270	270	230		1			943		13000		15.2	671	captivity	medium	acceptable						"434,448,455,671"
Artiodactyla	Bovidae	Cephalophus	silvicultor	Yellow-backed duiker			165	38	1	1	306	2400	20512.5	62000		22.5	671	captivity	medium	acceptable						"434,455,610,671,978"
Artiodactyla	Bovidae	Cephalophus	weynsi	Weyns's duiker			213							10000		15.2	671	captivity	small	acceptable						"6,711,308"
Artiodactyla	Bovidae	Cephalophus	zebra	Zebra duiker			227		1			1707.5		17500.1				unknown	small	low						"455,671,730"
Artiodactyla	Bovidae	Connochaetes	gnou	Black wildebeest	763	1096	259	228	1			11000		132250		21.8	671	captivity	medium	acceptable						"4,556,106,719,511,300"
Artiodactyla	Bovidae	Connochaetes	taurinus	Blue wildebeest	411	912	253	278	1	1	365	18125		164500	0.0026	24.3	671	captivity	large	high			230.073	196500	311.15	"364,204,556,106,716,000,000,000,000"
Artiodactyla	Bovidae	Damaliscus	lunatus	Topi	639		238		1	0.6		11100		110000		35	1306	captivity	medium	acceptable						"43,445,554,267,167,600,000,000"
Artiodactyla	Bovidae	Damaliscus	pygargus	"Bontebok, or Sassaby, or Blesbok"	707		243	152	1.2		365	6792		84500	0.0056	23	671	captivity	large	high						"434,455,671,677,680,000,000"
Artiodactyla	Bovidae	Eudorcas	rufifrons	Red-fronted gazelle	365		175		1					15011		14.5	671	captivity	medium	acceptable						"4,344,556,106,711,300"
Artiodactyla	Bovidae	Eudorcas	thomsonii	Thomson's gazelle	365	180	170	102	1	1.5	190	2600		25000		20	671	captivity	medium	acceptable						"4,344,556,106,716,800,000"
Artiodactyla	Bovidae	Gazella	bennettii	Indian gazelle	485	637	172							18916.7				unknown	small	low						"6,717,301,308"
Artiodactyla	Bovidae	Gazella	cuvieri	Cuvier's gazelle	349	180	171		1.5		274			17500		17.9	671	captivity	medium	acceptable						"455,610,671"
Artiodactyla	Bovidae	Gazella	dorcas	Dorcas gazelle	730	589	182	82	1	1	338	1650	7000	14500		23.7	671	captivity	large	high					312.05	"43,445,561,067,168,000,000,000"
Artiodactyla	Bovidae	Gazella	gazella	Mountain gazelle	476	685	180	88	1	1.5	297	2360		23250		18.3	671	captivity	large	high					312.65	"35,943,445,561,067,100,000,000"
Artiodactyla	Bovidae	Gazella	leptoceros	Rhim gazelle	157		176		1			4640		48500		14.6	671	captivity	medium	acceptable						"434,455,542,671"
Artiodactyla	Bovidae	Gazella	saudiya	Saudi gazelle	499	637	156							32185.7		21	1306	captivity	medium	acceptable						"13,061,308"
Artiodactyla	Bovidae	Gazella	spekei	Speke's gazelle	511		197		1		205	1253.33		20000				unknown	medium	low						"4,556,106,711,142"
Artiodactyla	Bovidae	Gazella	subgutturosa	Goitered gazelle	646	746	175	106	1.3	1		2625	13500	48500		16.3	671	captivity	large	high					312.65	"4,344,555,426,106,710,000,000"
Artiodactyla	Bovidae	Hemitragus	hylocrius	Nilgiri tahr	669		188	152	1.3		246			75000		17.3	671	captivity	small	acceptable						"434,455,542,671,730"
Artiodactyla	Bovidae	Hemitragus	jayakari	Arabian tahr			164		1					23000				unknown	small	low						"671,730,978"
Artiodactyla	Bovidae	Hemitragus	jemlahicus	Himalayan tahr	547	730	183	151	1	1	365	2000		35200		24	1306	captivity	medium	acceptable						"4,344,556,106,716,760,000"
Artiodactyla	Bovidae	Hippotragus	equinus	Roan antelope	730	814	284	183	1		331	15167		225000		25.9	671	captivity	medium	acceptable						"455,545,671"
Artiodactyla	Bovidae	Hippotragus	niger	Sable antelope	768	1184	271	213	1	1	365	16375		225000		22.2	671	captivity	large	high						"434,455,671"
Artiodactyla	Bovidae	Kobus	ellipsiprymnus	Waterbuck	771		264	213	1	1	365	9000		175333		30	671	captivity	large	high			148.949	100000	311.85	"3,643,445,561,067,160,000,000,000,000,000"
Artiodactyla	Bovidae	Kobus	kob	Kob	403	365	251	189	1	1.3		5405	31600	105000		21.9	671	captivity	medium	acceptable						"434,455,671,676,680"
Artiodactyla	Bovidae	Kobus	leche	Lechwe	898	1050	229	137	1			5100		94800		27	1306	captivity	large	acceptable						"45,554,267,111,351,300"
Artiodactyla	Bovidae	Kobus	megaceros	Nile lechwe	730	730	235		1	1	353	5100		90000		21.1	671	captivity	large	high						"455,542,671"
Artiodactyla	Bovidae	Litocranius	walleri	Gerenuk	359		204	241	1		241			43500		17.3	671	captivity	medium	acceptable						"455,542,671,978"
Artiodactyla	Bovidae	Madoqua	guentheri	Gunther's dik-dik	139		178	84	1	2		681.67	2825.5	4550		17.5	671	captivity	small	acceptable					310.95	"61,067,110,641,308"
Artiodactyla	Bovidae	Madoqua	kirkii	Kirk's dik-dik	213	304	172	71	1	2	244	600	1780	5000	0.0124	17.3	671	captivity	medium	acceptable			11.966	4290	312.15	"364,344,556,106,716,000,000,000,000"
Artiodactyla	Bovidae	Naemorhedus	baileyi	Red goral	950	500	213		1.5					28863		19	671	captivity	small	acceptable						"6,719,781,308"
Artiodactyla	Bovidae	Naemorhedus	caudatus	Chinese goral	950	500	215							27000		20.3	671	captivity	small	acceptable						"6,717,301,308"
Artiodactyla	Bovidae	Naemorhedus	goral	Goral	500	500	215		1	1	365	2000		31750		17.6	671	captivity	small	acceptable						"448,455,671"
Artiodactyla	Bovidae	Nanger	dama	Dama gazelle	109		208		1		182			73000		19.3	671	captivity	large	acceptable					312.35	"45,561,067,197,810,300,000"
Artiodactyla	Bovidae	Nanger	granti	Grant's gazelle	251		196		1			5602.5		67000		23	1306	captivity	medium	acceptable						"4,344,556,106,711,300"
Artiodactyla	Bovidae	Nanger	soemmerringii	Soemmerring's gazelle	640		190		1					48500		15.5	671	captivity	medium	acceptable						"434,455,671"
Artiodactyla	Bovidae	Neotragus	moschatus	Suni	183	183	180		1					6500		13.5	671	captivity	small	acceptable						"434,455,671"
Artiodactyla	Bovidae	Neotragus	pygmaeus	Royal antelope	487	685	183		1					2250		11.1	671	captivity	small	acceptable						"4,346,719,781,308"
Artiodactyla	Bovidae	Oreamnos	americanus	Mountain goat	912	912	184	122	1.2	1	365	3200		90000		20.8	671	captivity	small	acceptable			46.414	32000		"3,643,444,144,845,560,000,000,000"
Artiodactyla	Bovidae	Oreotragus	oreotragus	Klipspringer	365	365	196	137	1	1	365	1130		12000		25.9	671	captivity	medium	acceptable						"434,455,671"
Artiodactyla	Bovidae	Oryx	dammah	Scimitar-horned oryx	639	550	247		1			10317		177500		27.5	671	captivity	large	high						"4,344,556,106,716,800,000"
Artiodactyla	Bovidae	Oryx	gazella	Gemsbok	550	550	270		1	1.3		12000		170000		23.8	671	captivity	large	high					312.05	"4,344,484,555,426,100,000,000"
Artiodactyla	Bovidae	Oryx	leucoryx	Arabian oryx	794	550	243	137	1	1				121350		20.8	671	captivity	large	high					311.65	"434,455,610,671,680,000,000,000,000,000"
Artiodactyla	Bovidae	Ourebia	ourebi	Oribi	304	426	193	137	1	1.5	185	2235		17000		15.9	671	captivity	tiny	acceptable						"434,455,671,680"
Artiodactyla	Bovidae	Ovibos	moschatus	Muskox	1096	1278	258	213	1	0.8	608	11460		315000	0.0041	27.4	671	captivity	medium	acceptable					310.85	"4,344,414,555,426,100,000,000,000,000,000"
Artiodactyla	Bovidae	Ovis	ammon	Argali	403	823	170	135	1	1	365	3400		160000		16.8	671	captivity	small	acceptable						"455,542,671"
Artiodactyla	Bovidae	Ovis	aries	"Domestic sheep, or Mouflon"	548	914	146		1.58	1	365	2370		80000		22.8	671	captivity	large	high					311.95	"811,892,852,862,874,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
Artiodactyla	Bovidae	Ovis	canadensis	Bighorn sheep	707	749	180	152	1	1	365	4400	28000	70275	0.0031	20.6	671	captivity	medium	acceptable			114.674	67030.8	311.15	"36,420,441,455,573,600,000,000,000,000,000,000"
Artiodactyla	Bovidae	Ovis	dalli	Dall's sheep	684	639	173	129	1	1	365	2819		73100		19.6	671	captivity	medium	acceptable	0.05	1.5				"2,81,441,455,671,1135"
Artiodactyla	Bovidae	Pelea	capreolus	Common rhebok			261		1					25000				unknown	small	low						"434,455,542,671"
Artiodactyla	Bovidae	Philantomba	maxwellii	Maxwell's duiker	730	685	120	61	1	1		832		7000		18.3	671	captivity	small	acceptable						"4,344,556,106,386,710,000"
Artiodactyla	Bovidae	Philantomba	monticola	Blue duiker	487	685	193		1		265	800		6250		15.9	671	captivity	medium	acceptable			10.075	4200	312.55	"364,344,555,426,711,000"
Artiodactyla	Bovidae	Procapra	gutturosa	Mongolian gazelle	532		185		1.3	1	365	2900		30000		12	671	captivity	small	acceptable						"434,455,546,610,671"
Artiodactyla	Bovidae	Pseudois	nayaur	Bharal	730		160	182	1.5					55000		20.9	671	captivity	medium	acceptable						"455,542,573,610,671,000"
Artiodactyla	Bovidae	Raphicerus	campestris	Steenbok	238	243	197	91	1		215	920		13000		9.3	671	captivity	medium	acceptable			20.619	9600	312.55	"364,556,711,032"
Artiodactyla	Bovidae	Raphicerus	melanotis	Cape grysbok										10249.9				unknown	tiny	low						"671,730"
Artiodactyla	Bovidae	Redunca	arundinum	Southern reedbuck			224		1		376	4500		58000		16.8	671	captivity	small	acceptable						"455,671"
Artiodactyla	Bovidae	Redunca	fulvorufula	Mountain reedbuck	388	335	216		1	1.1	353	3000		30000	0.0093	15	671	captivity	small	acceptable						"434,455,542,610,671,000,000,000"
Artiodactyla	Bovidae	Redunca	redunca	Bohar reedbuck	502	502	228		1					45500				unknown	small	low						"455,671"
Artiodactyla	Bovidae	Rupicapra	pyrenaica	Pyrenean chamois	674	669	150							30000				unknown	tiny	low						"67,173,080,011,431,300"
Artiodactyla	Bovidae	Rupicapra	rupicapra	Chamois	674	669	122	76	1	1	365	2400		37500		17.6	671	captivity	medium	acceptable						"434,455,671,113,511,000,000"
Artiodactyla	Bovidae	Saiga	tatarica	Saiga	331	669	152	87	1.7	1	365	3500	14500	37500	0.0065			unknown	tiny	low						"434,455,610,671,677,000,000"
Artiodactyla	Bovidae	Sylvicapra	grimmia	Bush duiker	255	255	165	191	1	1.4	245	1612		18500		15.4	671	captivity	medium	acceptable						"434,455,671,677,817"
Artiodactyla	Bovidae	Syncerus	caffer	African buffalo	1475	1674	331	289	1	0.4	635	44000	166000	700000	0.0026	32.8	"Thomas Brockmann, pers. comm."	captivity	medium	acceptable						"43,445,561,067,667,700,000,000,000,000"
Artiodactyla	Bovidae	Taurotragus	derbianus	Giant eland	1107	1461	264		1					680000		20.3	671	captivity	medium	acceptable						"6,106,711,308"
Artiodactyla	Bovidae	Taurotragus	oryx	Eland	589	571	274	182	1		340	32000		500000	0.0019	26.1	671	captivity	large	high			190.209	141404	309.65	"364,344,556,106,716,000,000,000,000"
Artiodactyla	Bovidae	Tetracerus	quadricornis	Four-horned antelope	365		212		1.5		316	1044		19000		17.4	671	captivity	small	acceptable						"434,455,671"
Artiodactyla	Bovidae	Tragelaphus	angasii	Nyala	452		224	213	1	1.2	295	5232.5		120000		23	1306	captivity	medium	acceptable						"4,344,555,426,716,800,000,000"
Artiodactyla	Bovidae	Tragelaphus	eurycerus	Bongo	806	914	288		1	0.7		19800		307500		22	1306	captivity	large	acceptable						"4,344,556,106,716,800,000"
Artiodactyla	Bovidae	Tragelaphus	imberbis	Lesser kudu	504	504	235	274	1	1.3	259	6000		82500	0.0095	19.8	671	captivity	medium	acceptable						"434,455,671,677,680,000,000"
Artiodactyla	Bovidae	Tragelaphus	scriptus	Bushbuck	496		188		1	1.5	236	3800		60000	0.0044	15.3	671	captivity	medium	acceptable						"434,455,542,610,671,000,000,000,000"
Artiodactyla	Bovidae	Tragelaphus	spekii	Sitatunga	401		242		1	1	353	4000		87500		22.6	671	captivity	large	high						"434,455,610,671,680"
Artiodactyla	Bovidae	Tragelaphus	strepsiceros	Greater kudu	517		228	183	1	1	365	15000		217500		23.5	671	captivity	large	high					312.05	"45,554,267,195,110,200,000"
Artiodactyla	Camelidae	Camelus	bactrianus	Bactrian camel	1278	1278	395		1	0.5	730	36000		475000		35.4	671	captivity	large	high						"43,443,645,567,113,500,000"
Artiodactyla	Camelidae	Camelus	dromedarius	Dromedary	1095	2191	405	500	1	0.7	607	37000	253484	434000		28.4	671	captivity	medium	acceptable			224.779	407000	310.65	"36,302,303,434,455,600,000,000,000,000,000,000"
Artiodactyla	Camelidae	Lama	glama	Llama	800	800	330		1	1		11000		140000		28.9	671	captivity	large	high			148.94	115000	311.45	"3,643,445,567,197,810,000,000"
Artiodactyla	Camelidae	Lama	guanicoe	Guanaco	365	730	335	345	1	0.5		11500		127500		33.7	671	captivity	large	high					311.15	"4,344,556,106,711,000"
Artiodactyla	Camelidae	Vicugna	pacos	Alpaca	432	500	345	213	1.04			7210		62000		25.8	671	captivity	large	high					312.25	"4,344,556,711,001"
Artiodactyla	Camelidae	Vicugna	vicugna	Vicugna	730	730	340	213	1	0.7	548	5740		50000	0.0057	31.6	671	captivity	medium	acceptable					313.05	"4,344,556,106,716,800,000,000"
Artiodactyla	Cervidae	Alces	alces	Moose	751	612	243	100	1.3	1	365	12844	94000	386000	0.0039			unknown	medium	low			286.847	325000	311.75	"1,36,420,434,441,455,538,671,676,677,680,731,892,1135,1143"
Artiodactyla	Cervidae	Axis	axis	Chital	766	913	226	122	1.03		426	3144		36000		20.8	671	captivity	large	high					312.35	"455,671,951,996"
Artiodactyla	Cervidae	Axis	calamianensis	Calamian deer	304		224		2					40500		17.2	671	captivity	medium	acceptable						"6,717,309,781,308"
Artiodactyla	Cervidae	Axis	kuhlii	Bawean deer	304		227		1.2	1.3				55000		17.8	671	captivity	small	acceptable						"6,717,309,781,308"
Artiodactyla	Cervidae	Axis	porcinus	Hog deer	304		232	182	1			2532		43000		22.9	671	captivity	medium	acceptable						"434,455,542,610,671"
Artiodactyla	Cervidae	Blastocerus	dichotomus	Marsh deer			270		1	1		4200		102500				unknown	tiny	low						"455,542,610,671"
Artiodactyla	Cervidae	Capreolus	capreolus	Western roe deer	413	655	153		1.6	1	365	1010		21666.7		17.5	671	captivity	medium	acceptable			46.347	21500	311.15	"36,86,420,455,542,610,671,676,677,680,800,882,1135,1143,1150,1206,1389"
Artiodactyla	Cervidae	Capreolus	pygargus	Eastern roe deer	413	655	294	137	2	1		1750	28750	39450				unknown	small	low						"6,106,711,308"
Artiodactyla	Cervidae	Cervus	elaphus	Red deer	852	730	245		1	0.9		10100		200000	0.006	31.5	671	captivity	large	high			112.43	67000	308.35	"36,86,145,146,147,434,455,671,676,677,680,731,789,790,791,900,1009,1135,1143,1150,1389"
Artiodactyla	Cervidae	Cervus	nippon	Sika deer	500	500	210	172	1	1		5750	28590	42000		26.3	671	captivity	large	high					312.95	"4,344,556,106,716,770,000,000,000"
Artiodactyla	Cervidae	Dama	dama	Fallow deer	487	507	233	183	1	1	365	4500	22570	70000		27	1306	captivity	large	acceptable						"8,617,918,043,445,550,000,000,000,000,000,000,000"
Artiodactyla	Cervidae	Elaphodus	cephalophus	Tufted deer	639	730	180		1					33500		22.7	671	captivity	medium	acceptable						"448,455,671"
Artiodactyla	Cervidae	Elaphurus	davidianus	Pere David's deer	821	1186	288	167	1	1	360	11000		186500		27.5	671	captivity	large	high						"434,455,542,547,610,000,000"
Artiodactyla	Cervidae	Hippocamelus	antisensis	"Taruca, or Guemals"			255		1					45000				unknown	small	low						"455,542,610,671"
Artiodactyla	Cervidae	Hippocamelus	bisulcus	Chilean guemal			198		1	1		3576		70000				unknown	small	low						"610,671,978"
Artiodactyla	Cervidae	Hydropotes	inermis	Chinese water deer	183		190		2.7			1042		11500		13.9	671	captivity	large	acceptable					311.45	"4,344,556,716,771,030"
Artiodactyla	Cervidae	Mazama	americana	Red brocket	395	365	225	182	1.3	1		538.5		33000		17.1	671	captivity	medium	acceptable						"434,455,542,610,671,000,000"
Artiodactyla	Cervidae	Mazama	gouazoubira	Gray brocket	395	365	212		1			919		17000		14.8	671	captivity	small	acceptable						"434,455,542,671"
Artiodactyla	Cervidae	Muntiacus	crinifrons	Black muntjac			196		1					18590				unknown	small	low						"671,978"
Artiodactyla	Cervidae	Muntiacus	feae	Fea's muntjac			196		1.2					22000				unknown	small	low						"671,730,978"
Artiodactyla	Cervidae	Muntiacus	muntjak	Indian muntjac	272	332	210	61	1.17		241	1223		21000		18.8	671	captivity	medium	acceptable						"4,344,484,554,875,420,000,000,000"
Artiodactyla	Cervidae	Muntiacus	reevesi	Reeves's muntjac	274		199		1	1.5	215	1050		18000		23.2	671	captivity	large	high						"43,445,561,067,167,700,000,000"
Artiodactyla	Cervidae	Odocoileus	hemionus	Mule deer	478	503	207	132	1.5	1	365	2950	23100	57000	0.0057	22	671	captivity	medium	acceptable					313.15	"434,455,671,731,107,000,000,000"
Artiodactyla	Cervidae	Odocoileus	virginianus	White-tailed deer	309	417	198	129	2	1	304	3000	36000	87000	0.007	23	956	captivity	large	high			123.447	61862.5	312.15	"36,86,420,434,441,455,610,677,680,731,956,1143"
Artiodactyla	Cervidae	Ozotoceros	bezoarticus	Pampas deer	365		213	167	1	1	330	2100		32500		21.9	671	captivity	tiny	acceptable					310.65	"4,344,555,426,106,710,000"
Artiodactyla	Cervidae	Przewalskium	albirostre	Thorold's deer	730		253		1	1				135000		21.3	671	captivity	medium	acceptable						"434,455,671"
Artiodactyla	Cervidae	Pudu	puda	Southern pudu	274	320	200	61	1			900		10000	0.0186	18.3	956	captivity	medium	acceptable						"86,434,448,455,610,600,000,000,000"
Artiodactyla	Cervidae	Rangifer	tarandus	"Caribou, or Reindeer"	662	680	228		1	1	365	6500		101250	0.0047	21.8	956	captivity	large	high			119.66	85000	310.35	"3,634,439,343,444,140,000,000,000,000,000,000,000,000,000,000,000,000"
Artiodactyla	Cervidae	Rucervus	duvaucelii	Barasingha	1095		250		1					170000		24.5	671	captivity	large	high						"434,455,610,671,677"
Artiodactyla	Cervidae	Rucervus	eldii	Eld's deer	508		241	240	1	1	372	4750		122500		20.5	671	captivity	large	high						"4,344,556,106,716,770,000,000"
Artiodactyla	Cervidae	Rusa	alfredi	Visayan spotted deer	595		243							46475		18.5	671	captivity	medium	acceptable						"6,719,781,308"
Artiodactyla	Cervidae	Rusa	marianna	Philippine deer										50000				unknown	small	low						"434,671"
Artiodactyla	Cervidae	Rusa	timorensis	Timor deer	464		251	228	1	1	366			63000		21.1	671	captivity	medium	acceptable						"434,455,671"
Artiodactyla	Cervidae	Rusa	unicolor	Sambar	650		232	213	1	1		10000		185000		26.4	671	captivity	large	acceptable						"434,455,542,610,671,000"
Artiodactyla	Giraffidae	Giraffa	camelopardalis	Giraffe	1278	1644	457		1	0.5	620	58500		800000		39.5	671	captivity	large	high					310.25	"434,436,455,610,671,000,000,000,000,000,000,000"
Artiodactyla	Giraffidae	Okapia	johnstoni	Okapi	578	790	458	194	1	0.8		16000	77000	225000		33.5	671	captivity	medium	acceptable					311.22	"4,344,556,106,716,800,000"
Artiodactyla	Hippopotamidae	Hexaprotodon	liberiensis	Pygmy hippopotamus	1278	1644	199	198	1	0.4		4900		215000		42.3	671	captivity	medium	acceptable						"4,344,556,106,711,130"
Artiodactyla	Hippopotamidae	Hippopotamus	amphibius	Hippopotamus	1279	1279	234	341	1	0.6	563	40000	237500	3750000		61.2	671	captivity	large	acceptable	0.01	7			308.55	"2,81,434,455,610,671,676,677,680,1038,1143"
Artiodactyla	Moschidae	Moschus	berezovskii	Chinese forest musk deer	540	540	197		1	1		524		12000				unknown	small	low						"434,455,674,676,978"
Artiodactyla	Moschidae	Moschus	chrysogaster	Alpine musk deer	639		188		1	1		800		11000				unknown	tiny	low						"455,610,674,978"
Artiodactyla	Moschidae	Moschus	moschiferus	Siberian musk deer	473		162	106	1.5	1		458.75		10000				unknown	small	low						"434,455,542,610,671,000,000"
Artiodactyla	Suidae	Babyrousa	babyrussa	Babirusa	548	548	153	213	1.3	2		715		71500		22.9	671	captivity	medium	acceptable						"1,434,455,610,671"
